"Titre","Montant","Devise","Taux de change","Montant dans la devise du tricount (CHF)","Type de transaction","Catégorie","Payé par","Payé par Caps","Payé par Emilian","Impacté à Caps","Impacté à Emilian","Date & heure","URL des images"
"Bière 🍺","9.10","CHF","1","9.10","Dépense","Restaurants & Bars","Emilian","0.00","9.10","0.00","-9.10","9 septembre 2024 00:00",""
"Casque retrouvé","5.00","CHF","1","5.00","Dépense","Autre","Emilian","0.00","5.00","-5.00","0.00","9 septembre 2024 00:00",""
"Métro Lille Paris","13.40","EUR","0.945805","12.67","Dépense","Transport","Emilian","0.00","12.67","0.00","-12.67","9 septembre 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.945805","1.89","Dépense","Frais bancaires 🏦","Emilian","0.00","1.89","0.00","-1.89","9 septembre 2024 00:00",""
"Frais conversion loyer","5.00","CHF","1","5.00","Dépense","Frais bancaires 🏦","Emilian","0.00","5.00","-2.50","-2.50","9 septembre 2024 00:00",""
"Forfait","50.01","EUR","0.945805","47.30","Dépense","Forfait Téléphone ☎️","Emilian","0.00","47.30","0.00","-47.30","1 août 2024 00:00",""
"Tel","20.47","EUR","0.945805","19.36","Dépense","Forfait Téléphone ☎️","Emilian","0.00","19.36","0.00","-19.36","1 juillet 2024 00:00",""
"Tel","22.37","EUR","0.945805","21.16","Dépense","Forfait Téléphone ☎️","Emilian","0.00","21.16","0.00","-21.16","2 juin 2024 00:00",""
"Forfait","20.00","EUR","0.945805","18.92","Dépense","Forfait Téléphone ☎️","Emilian","0.00","18.92","0.00","-18.92","3 mai 2024 00:00",""
"Burger veille soutenance","15.90","CHF","1","15.90","Dépense","Restaurants & Bars","Emilian","0.00","15.90","0.00","-15.90","9 septembre 2024 00:00",""
"Festival","124.00","CHF","1","124.00","Dépense","Week-end 🥳","Emilian","0.00","124.00","0.00","-124.00","9 septembre 2024 00:00",""
"Clé USB","12.95","CHF","1","12.95","Dépense","Dépense unique ⚡","Emilian","0.00","12.95","0.00","-12.95","9 septembre 2024 00:00",""
"Migros casse dale","5.75","CHF","1","5.75","Dépense","Restaurants & Bars","Emilian","0.00","5.75","-5.75","0.00","9 septembre 2024 00:00",""
"Contrôle des habitants","70.00","CHF","1","70.00","Dépense","Administratif 🛂","Emilian","0.00","70.00","0.00","-70.00","9 septembre 2024 00:00",""
"Cff","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","9 septembre 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","90.00","90.00","9 septembre 2024 00:00",""
"Salaire","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","2 septembre 2024 00:00",""
"Coop Berne","15.35","CHF","1","15.35","Dépense","Restaurants & Bars","Emilian","0.00","15.35","-7.67","-7.68","9 septembre 2024 00:00",""
"MacDo","9.90","CHF","1","9.90","Dépense","Plaisir 🍫","Emilian","0.00","9.90","-4.95","-4.95","9 septembre 2024 00:00",""
"Felfel","7.50","CHF","1","7.50","Dépense","Restaurants & Bars","Emilian","0.00","7.50","0.00","-7.50","9 septembre 2024 00:00",""
"Courses","43.30","EUR","0.934668268470944","40.47","Dépense","Courses","Caps","40.47","0.00","-20.23","-20.24","3 septembre 2024 00:00",""
